label,area,diameter,eccentricity,solidity,mean_intensity
734,8.0,3.1915382432114616,0.7950972173652757,0.8888888888888888,0.7960009813542689
735,13.0,4.068428945128219,0.9350588483818555,0.8666666666666667,0.6946101004000906
736,31.0,6.282549314314218,0.9077827090414278,0.8378378378378378,0.9118917977777073
737,12.0,3.9088200952233594,0.8755989883658382,0.9230769230769231,0.8293976938174681
738,152.0,13.911592676604096,0.8152746964024113,0.7958115183246073,0.8126440557047673
739,26.0,5.753627391751592,0.9143742336906147,0.9285714285714286,0.8337548124103571
740,16.0,4.51351666838205,0.9634073373671039,0.8421052631578947,0.8596318388125613
741,18.0,4.787307364817192,0.843865661559451,0.9,0.6961618144150038
742,34.0,6.579524642479541,0.7896138842603398,0.9714285714285714,0.7040260780465277
743,10.0,3.5682482323055424,0.7905694150420949,1.0,0.8560475956820411
744,15.0,4.370193722368317,0.955076820277326,0.8823529411764706,0.7235116126921819
745,12.0,3.9088200952233594,0.8755989883658382,0.9230769230769231,0.8166247546614328
746,130.0,12.865501965161373,0.5692621273510734,0.8904109589041096,0.8940557295991546
747,26.0,5.753627391751592,0.9386955752857735,0.9629629629629629,0.8275600135879823
748,426.0,23.28948359361322,0.6108038161014651,0.8801652892561983,0.8625088978424027
749,41.0,7.225151993843567,0.5605859256604244,0.7884615384615384,0.7584896120060317
750,52.0,8.136857890256438,0.9856120111338909,0.8813559322033898,0.918713906922322
751,48.0,7.817640190446719,0.7079708565175432,0.96,0.7270455103042197
752,21.0,5.170882945826411,0.978628681005368,0.84,0.7307350810785551
753,9.0,3.385137501286538,0.6944132079458366,0.9,0.9084478246647039
754,80.0,10.092530088080641,0.7328810741290189,0.9302325581395349,0.816395516437684
755,8.0,3.1915382432114616,0.7950972173652757,0.8888888888888888,0.8421782998037292
756,97.0,11.11324596323283,0.37300532053733715,0.941747572815534,0.8175724381089202
757,219.0,16.698486766680407,0.5440642100135604,0.9049586776859504,0.8180335609716752
758,87.0,10.524820207108489,0.8513585812254322,0.8285714285714286,0.8137104779308091
